Video ID,Create Time,Duration,Description,Author ID,Author Nickname,Author Unique ID,Digg Count,Follower Count,Following Count,Friend Count,Heart Count,Video Count,Collect Count,Comment Count,Digg Count,Play Count,Share Count,Video URL
7483343017282211080,2025-03-19 02:32:57,11,ဒီလောက်ဆိုဒူးထောက်ပြီတို့က😭❤️ #tiktok  #myanmartiktok🇲🇲🇲🇲  #trending  #fyppppppppppppppppppppppp  #အောင်ရဲလင်း  #သိမ်မွေ့သံစဉ်  #မချစ်သင့်သော  #မြန်မာဇာတ်လမ်းတွဲ  #viewsproblem😭  @Thein Mwave Than Sin ,7012516872126268442,Pan🍉,pan620,9705,16500,32,0,331200,65,1021,87,41500,494600,313,https://www.tiktok.com/@pan620/video/7483343017282211080
7485650925068045590,2025-03-25 07:48:56,29,#မချစ်သင့်သော #အောင်ရဲလင်း #ရှိန်းမင်း #သိမ်မွေ့သံစဉ် #aungyelin #foryou #burmesetvseries #ကိုကြီးရဲ့ရွှေရုပ် #ရွှေရုပ်နဲ့ကိုကြီး #myanmar #showlike ,7304192912383607841,michico,michico6386,1079,75900,11,0,1200000,65,715,151,18900,300100,96,https://www.tiktok.com/@michico6386/video/7485650925068045590
7486009918453976327,2025-03-26 07:01:52,40,ငါရူးတယ် မင်းကိုချစ်လို့ရူးတာ..မင်းလဲအဲ့အရူးကြီးကိုပဲချစ်ရမှာ...🥴🥴#မချစ်သင့်သော #အောင်ရဲလင်း ဖန်ဖြစ်ရပါတော့မယ်🤧#foryou #tiktokmyanmar🇲🇲 #fyp ,6856777024477250562,AWAI ☪♡,waiiaw25,30800,33300,89,0,604800,169,582,88,19000,393300,216,https://www.tiktok.com/@waiiaw25/video/7486009918453976327
7487343901708176662,2025-03-29 21:18:24,140,#မချစ်သင့်သောက #ရှိန်းမင်း အခန်းပြန်လာမှပဲတင်​မယ်နော်  #အောင်ရဲလင်း #ကိုညို #လွမ်းလို့မကျန်ရစ်စေလို #ဦးဆောက်ပန်း #aungyelin #ရွှေမှုံရတီ #foryou #burmesetvseries #ညိုချစ်ဆိုင် ,7304192912383607841,michico,michico6386,1079,75900,11,0,1200000,65,980,169,29200,599800,198,https://www.tiktok.com/@michico6386/video/7487343901708176662
7381512355399634183,2024-06-17 16:37:56,54,#မချစ်သင့်သော(Red Flag) #အောင်ရဲလင်း #ရဲရင့်သော်#သိမ်မွေ့သံစဉ်,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,2214,334,73000,988400,341,https://www.tiktok.com/@yinmoepaing5/video/7381512355399634183
7386779528300858630,2024-07-01 21:17:16,96,#မချစ်သင့်သော (Red Flag) #အောင်ရဲလင်း #ရဲရင့်သော်#သိမ်မွေ့သံစဉ်,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,334,91,8913,230600,34,https://www.tiktok.com/@yinmoepaing5/video/7386779528300858630
7386779528300858630,2024-07-01 21:17:16,96,#မချစ်သင့်သော (Red Flag) #အောင်ရဲလင်း #ရဲရင့်သော်#သိမ်မွေ့သံစဉ်,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,334,91,8915,230600,34,https://www.tiktok.com/@yinmoepaing5/video/7386779528300858630
7381512355399634183,2024-06-17 16:37:56,54,#မချစ်သင့်သော(Red Flag) #အောင်ရဲလင်း #ရဲရင့်သော်#သိမ်မွေ့သံစဉ်,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,2214,334,73000,988400,341,https://www.tiktok.com/@yinmoepaing5/video/7381512355399634183
7487743235645836566,2025-03-30 23:08:03,76,#လွမ်းလို့မကျန်ရစ်စေလို #ရှိန်းမင်း #အောင်ရဲလင်း #ဦးဆောက်ပန်း #ရွှေမှုံရတီ #ညိုချစ်ဆိုင် #foryou #burmesetvseries #မချစ်သင့်သော #မိခင် #ကလေး #delivery #myanmar ,7304192912383607841,michico,michico6386,1079,76100,11,0,1200000,65,1683,252,44700,829900,270,https://www.tiktok.com/@michico6386/video/7487743235645836566
7483922804501515538,2025-03-20 16:02:49,12,"မချစ်သင့်သော ရှိန်းမင်း,ဇေခက်,ရွှေရုပ်ကိုမနက်ဖြန် ၂၁ရက်မှာ𝐒𝐡𝐨𝐰𝐋𝐢𝐤𝐞 𝐀𝐩𝐩𝐥𝐢𝐜𝐚𝐭𝐢𝐨𝐧 ကနေအပိုင်း11ကိုကြည့်ရတော့မှာမို့  can't wait✌ 🥰🥰 #မချစ်သင့်သော     #အောင်ရဲလင်း #ရဲရင့်သော် #သိမ်မွေ့သံစဉ်",6753477110163440641,Kri Szz Ginn Gar,kriszzginngar,5230,4127,123,0,93300,20,12,10,221,5415,2,https://www.tiktok.com/@kriszzginngar/video/7483922804501515538
